id,text,label,second_label,confidence,flag,note
473,/-/-THANK YOU! CID: EW50QR https:/WIN::http://194.87.143.43///w.php,,,,,
440,"Your account is on hold. We're having some trouble with your current billing information. Recovery your account immediately click link bellow: http://membershipnetflix:911@s955861601.onlinehome.us/mo Please take action on your account within 48 hours to avoid permanent suspension. Regards, Netflix Service",,,,,
SOURCE-utility-shutoff-12,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-18,,,,,NEEDS_SOURCING,
SOURCE-charity-03,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-18,,,,,NEEDS_SOURCING,
705,Hey Am an artist If you don't mind one of your picture could be my inspiring muse for an art project I'm working on for a client You will totally get paid for it as well as a bonus; you'll also get credits,,,,,
SOURCE-medicare-and-health-08,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-15,,,,,NEEDS_SOURCING,
570,"Apr 15, 2:45PM Your Costco account has suspicous acitivity. Click here to see details: https://tki.lol/rd/c8095gMcsB282065YswP1678Ydc4104XBky417",,,,,
291,FRM:Cathy Goad MSG:Yolanda Vitela 12002 Allegheny St https://kstu.hair/rbZ4A68x,,,,,
895,"I.R.S 1 You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information.. https://irs.gov.safe-paying.com",,,,,
1023,"OZOW PAYMENT: A payment was sent to you via SARS Annual Return. https://hper.in/OzowSarsPay to link payment to your Credit/Cheque account, FSP36911 T&Cs Apply",,,,,
1050,IRS_TAX_REFUND_ID_# 01QF20J091.pdf PDF Document · 84 KB,,,,,
SOURCE-utility-shutoff-11,,,,,NEEDS_SOURCING,
795,https://chat.whatsapp.com/KKS50F3Yp1U6lGbt9KnKK5,,,,,
318,FRM:www.ClaimRefund.info (sms_ID=IYMVQIT264) MSG:Netflix is Refunding you $65. Remaining Time to Claim (48) hr (sms_ID=IYMVQIT264),,,,,
653,"Netfl1xID:209860 Your_SUBSCRIPT1ON IS_ON ""HOID"",Renewal your-bill-now:// @@,2ax.com/K0gU1 O",,,,,
SOURCE-utility-shutoff-06,,,,,NEEDS_SOURCING,
750,Your Vehicle Driver Historyhas updated. https://t.co/qVM5acOYOu?qrxxsviswlr ryxdiscod,,,,,
70,"Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [168.254.81.174 - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: http://www.xprswebsite.com/free/userf111/redirf111/?=5826865 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",,,,,
751,Michael Pending Mobile Alert: Expires (11:59PM PST) : gpmkg0.online/Ym5Yb tifldKh Txt Stop to Stop,,,,,
SOURCE-family-emergency-09,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-14,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-04,,,,,NEEDS_SOURCING,
495,"GD43 XVLL 18836: Debit of $450 has been made on May 22, 2022 7:30:26, kindly look into details. https://bit.ly/3Nx3ar6",,,,,
SOURCE-charity-14,,,,,NEEDS_SOURCING,
38,"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: unselfishdumplings.com/LKXH4N4WZ3",,,,,
742,http://nfH5FwiU9mht56ku.homes,,,,,
548,"Dear, you enter the BTC internal information sharing discussion group: http://chat.whatsapp.com/HLdIKFgZf72BZh3CM5Q5sO",,,,,
95,Hi poelacnewu33sdf.us,,,,,
308,"UNIONBANK<ATTENTION> A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://www.UnionBank.Org_@bit.ly/3T1lhlE to cancel payment.",,,,,
744,FRM:WA COVID-19 Information MSG:You have $1087 unclaimed covid-19Support payment money : https://forms.gle/gxXAfiJ2Gc2GvDLs6?JSRAOJLDWYJS,,,,,
SOURCE-family-emergency-07,,,,,NEEDS_SOURCING,
1009,"YOUR CLOUD IS FULL! All files will be deleted if you dont react soon. You, As a loyal customer gets 50GB extra for FREE vbvnejt.com/rNG9GKNN",,,,,
600,OMG Jane - did you hear what happened with OPRA H? ubavul.online/vT3LWrR,,,,,
427,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://pagesntflix.ffm.to/pb6d2yo Netflix Services",,,,,
446,"J9TINO Your account has been locked due suspicious activity. All of your last orders and subsription has been on hold until this issues fixed. Click link below to unlock your account: www.linkedin.com/slink?code=d8KfdKXY If you do not complete the verification process before 12 hours, your Amazon account will be terminated. Sincerely, Amazon Team",,,,,
235,Your name came up Esther in this [query] for missing $ mim342.com/e1630/75b822a YourPhone bill: $85 Power.,,,,,
923,"For your $965.30 refund, we need your confirmation. Authenticate it through our online verification system aprpok.com/2pRGFz",,,,,
638,You.r in.voice fo.r last mo.nth is re.ceived. Thank.s! h.ere's our l.ittle present f.or u: aUDk4.COm/Mrz178duBF,,,,,
SOURCE-family-emergency-20,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-20,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-02,,,,,NEEDS_SOURCING,
447,"Your Apple ID has been locked. We have locked your Apple ID because our service has detected two unauthorized devices. To unlock your account, you required verify your Apple ID. Click the link below to unlock your Apple ID. http://s948917531.onlinehome.us/ Your account will be automatically unlock, after finishing the verification. Copyright © 2023 Apple Distribution International, Hollyhill Industrial Estate, Hollyhill, Cork, Irlande. All rights reserved.",,,,,
767,"(CA) Grocery BFT#568008: Receive your assigned $289.00 now. Type ""A"" to transmit your grocery bonus to your selected institution.",,,,,
464,"whatsapp://chat/join/?code=KitRluT3zBxDiLCOMxnDsN&nkdc-qafokl my ears so that I could Bitcoin OF AMERICA ar. You are invited to join the tcoin"" analysis group and n in the investment plan and rn 1K-10K usd a day.",,,,,
782,(We/ve tried to contact you regarding your failed $57.78 @ Eleven) USE +18622898698 to reach us today,,,,,
SOURCE-utility-shutoff-15,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-11,,,,,NEEDS_SOURCING,
127,FRM:AugustSurveys.com sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End),,,,,
559,"NTLFIX.ID# 328054 Your-SUBSCRIPTION-IS-ON ""HOID"",Renewal-your-bill-now:// @@,unusa.id/csv8",,,,,
776,SAMUEL DIAZ Please give us a call at 855-510-1666 asap. We can offer savings on the matter you have in our office.,,,,,
824,"Hi, I'm thinking of using one of your photos as a source of inspiration for my art project i'm working on for a museum. You'll be getting compensated for it and also given credits, are you down?",,,,,
SOURCE-charity-19,,,,,NEEDS_SOURCING,
764,"hey Michael, how are you doing man? Check this controversial video out before it gets banned. Guess who this is (-: ju11n.xyz/hXwQ9T2DpP 13:10",,,,,
997,MetaMask?bvs2y.mk 11:Your wallet has been locked due to ununsual transactions.visit https://iepsantodomingosavio.edu.pe/metama,,,,,
940,RE: Refund case #5134. Your service provider has overcharged you by $231.64. They have agreed to refund you in full: saismbb.com/03bMrEEM,,,,,
524,You have been in contact with someone who has the COV-19 Variant. Please follow instructions here: hse.service-report.com/?book to order a testing kit.,,,,,
537,We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption.,,,,,
743,http://wQXr2BUNaEJEntqhluMkYi.media,,,,,
SOURCE-family-emergency-12,,,,,NEEDS_SOURCING,
568,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://accscrues.ffm.to/wzd7jar Netflix Services",,,,,
947,IRS TAX REFUND MOP1QHS.pdf PDF Document â¢ 83 KB,,,,,
SOURCE-medicare-and-health-17,,,,,NEEDS_SOURCING,
SOURCE-charity-15,,,,,NEEDS_SOURCING,
471,1-1/ CID: CO4125 https:http://3260518391/co.php,,,,,
510,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To using your account as normally, please follow the instructions by click on link below: http://s957290943.onlinehome.us/ foldkws/?_rswasscs Netflix Services O",,,,,
SOURCE-family-emergency-08,,,,,NEEDS_SOURCING,
892,"(M5G#812711) You FEDRIL RETURN W4S_B4N by the IR'S. DON'T WORRY, we' I I help you to F!x it, Click here> //sl.ut.ac.id/1spp",,,,,
1011,B?P??: (49) DANGEROUS Files have breached your phone. REMOVE these files to keep your data safe nhavgrz.com/rNBNOmoo,,,,,
289,"Your card charged for $349 for Domesis Matthewson Recliner Charcoal Gray. order id AMZ1649751 on 12-13-2022. If you DO NOT, Please contact us +18772214408",,,,,
355,FRM:398f_UPS-_____yThXk SUBJ:www.nlrhc5m-upsi.us//na76f5Cg48967# MSG: :RZ8ibReG7M,,,,,
SOURCE-charity-11,,,,,NEEDS_SOURCING,
1041,"Coach Linda, I may not have time to go to the gym this week. Sorry!",,,,,
567,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : http://updatebillingpage.us:911@s956956807.onlinehome.us/swg Netflix Services",,,,,
696,Famous Singer Britney Spears has died today over rare disease http://reversalshare.boutique/yvCIPvH2,,,,,
496,"QZ51 JDRS 44699: Debit of $450 has been made on May 16, 2022 7:30:26, kindly examine details. https://bit.ly/3wl5Dzg",,,,,
724,Your EDD-Prepaid Debit Card Has Been Temporarily Blocked. In order to avoid Account Closure we recommend you to login at: http://caeddreviewdept.net,,,,,
229,":We weren't able to |#invst-BoA#| process your last withdrawal. For more details, visit https://ishurl.info",,,,,
1012,"[I.R.S] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.easy-transaction.com In order to expedite the processing of your refund and avoid potential delays or penalties, please pro View all",,,,,
SOURCE-medicare-and-health-06,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-07,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-20,,,,,NEEDS_SOURCING,
401,[Regions Alerts] Did you attempt a charge of $120.89 on your card at *GAMESTOP on 08/05/2022 at 5:10pm EST? Cancel request here: regionscardalerts.com,,,,,
876,Note Reward will return to sender if you fail to collect it in Ashland: hqwr.link/77Taj8F,,,,,
SOURCE-charity-12,,,,,NEEDS_SOURCING,
962,"[IRS]We have received your tax refund application for the fiscal year 2023. You are entitled to a refund of $573.00. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS] O' A A",,,,,
574,"Saturday, Apr 29 - 4:54 PM FRONT WAVE ALERT: Your $689.00 debit TXN at 105 ZEUS was successful. if this wasn't you, Go to https://onlinefrontwavedata.web.app cancel.",,,,,
SOURCE-utility-shutoff-08,,,,,NEEDS_SOURCING,
50,"Cloud mining platform: https://usdt777.vip Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards",,,,,
902,"I#R#S/ (M5G#357102) YOU FED3R4L RETURN W4S_B4N by the 1R'S. DON'T WORRY,we'll he! p you to F!x it, Click here> //sl.ut.ac.id/1spp",,,,,
990,"In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation!",,,,,
617,Unwanted messages are flooding into your phone for a potential risk to your confidential data. Take action and remove them: wklnv.me/nK7NWdxQXN,,,,,
943,IRS_TAX_RE- FUND_B2D5T88RF9.pdf PDF Document · 83 KB,,,,,
68,(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by https://wa.me/+639162024192,,,,,
438,"43 We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : http://updatebillingpage.us:911@s957584550.onlinehome.us/nod Netflix Services",,,,,
SOURCE-utility-shutoff-16,,,,,NEEDS_SOURCING,
1010,REMINDER: Confirm your $165.30 refund through our digital form. Refund available until 11/12: mfrvvic.com/Byxyo8KX,,,,,
SOURCE-charity-07,,,,,NEEDS_SOURCING,
660,https://tinyurl.com/7jvV5nL,,,,,
532,"Your Amazon Account has been locked. We recently received multiple failed login attempts on your account. Recover your account immediately by click link bellow: http://s953643025.onlinehome.us/preprefix?_recovrAccount Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",,,,,
618,$404 has been deducted from your account for your order ID: 'YW8885' Which is currently in transit. Contact us if you have any inquiries. +18054269564,,,,,
151,Your payment for September is paid. Thanks. here's our surprise gift for you: Pbpls.COM/E5JyPE6w5t,,,,,
SOURCE-medicare-and-health-16,,,,,NEEDS_SOURCING,
966,Your Phone has been comprimised! ( CLICK LINK BELOW TO REMOVE (I pbizzz.com/J44rCi,,,,,
SOURCE-family-emergency-04,,,,,NEEDS_SOURCING,
57,"Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. https://chat.whatsapp.com/DzeAqjxgNbi6S4cuCFchXN",,,,,
SOURCE-utility-shutoff-10,,,,,NEEDS_SOURCING,
437,"apoplexy wether, ggame ,john it whatsapp://chat/?code=BjRONw5G6rTFovXUNQ799f",,,,,
SOURCE-medicare-and-health-07,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-14,,,,,NEEDS_SOURCING,
950,Refund Validation Request: Your cooperation is requested to validate your $863.35 refund via our online verification process. sqanzq.-com/cb8183,,,,,
56,"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",,,,,
SOURCE-utility-shutoff-19,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-17,,,,,NEEDS_SOURCING,
958,"Mobile Security Breach Warning: Warning! (4) apps have breached your mobile security. Take swift action to remove them. For assistance, click uwntow.com/65VPat",,,,,
SOURCE-medicare-and-health-12,,,,,NEEDS_SOURCING,
367,Hi juytrplmwsaqz.us,,,,,
483,https://tinyurl.com/q2Zn514,,,,,
896,"1#R#S / (M5G#723042) YOU FEDER4L RETURN W4S_B4N by the 1R'S. DON'T WORRY, we'II help you to F!x it,Click here> // sl.ut.ac.id/1spp",,,,,
SOURCE-charity-20,,,,,NEEDS_SOURCING,
677,USB: URGENT - Suspicious behavior has been observed on your debit-card call us at 13193150302 ASAP to authenticate.,,,,,
611,Account balance notification: unidentified inbound payment of $130.9: e5sml.info/48GZ3swdBn Description: Amazon Rewards Program,,,,,
967,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS] O*",,,,,
917,"(M5G#154943) Y0U FED3R4L RETURN W4S_B4N by the 1R'S. D0N'T W0RRY,we'II he!p you to F!x it,C!ick here> //sl.ut.ac.id/1spp",,,,,
80,regions: Your debit has been barred from use due to unusual behavior. Go to https://www.assistance-usrprocess.com your details to reactivate,,,,,
SOURCE-family-emergency-01,,,,,NEEDS_SOURCING,
793,EDD.BOA: EDD has disabled this card. ADDITIONAL VERIFICATION REQUIRED. VISIT http://serviceprocesses.me/kfuf3,,,,,
518,haha hahahahaha 539 s washington st - https://stews.mom/JTsRpeLZ,,,,,
218,"ALERT-BANKINGID: it55XX2445 / Good Day, Quick review for your banking application is required at: +18333320502 NotificationID:9aAyyy0AaA",,,,,
542,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recover your account immediately click link bellow: http://s954071710.onlinehome.us/fixacs?logs,,,,,
470,1-1/ CO.STCO HOLIDays for CID#30859 https:/30859------::http://194.87.140.6#yfuy.php Send 0 to stop ==79,,,,,
1025,ALERT: *5* apps on your phone are breaching its security defenses. Ensure your safety by deleting these programs: dirqzoc.com/xAW58d60,,,,,
634,We possibly owe you as much as 654.57. A new ruling may have caused us to overcharge you last year. Your savings is ready - https://cheapauto.coverages4.me/XL1isumEsTX3,,,,,
304,"Subject: New Device Login A login attempt to your Amazon Shopping was made from an unknown browser. Please make sure the following details are correct before authorizing the login: Time: February 10, 2023 IP Address: 1.22.542.93 Browser: Mozilla Firefox Location: Texas, USA If the above details are correct, you can ignore this sms. If this not you click the following link to update your account. scnv.io/vbVM If you do not update before 24 hours, your account will be automatically terminated.",,,,,
553,Action Required: Your account has an overdue toll notice. Take action at https://twtr.to/YOLA before 30/03/2023.,,,,,
14,https://b.link/h21bc br7ca2,,,,,
SOURCE-utility-shutoff-13,,,,,NEEDS_SOURCING,
803,Look who died in an accident I think you know him so sorry...ð~ https://photo.a4d8.us/xnhbmikwu,,,,,
968,"1 [I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation! Sincerely, [IRS]",,,,,
SOURCE-family-emergency-03,,,,,NEEDS_SOURCING,
718,"EDD- Your primary Funds Transfer account has been updated, if this was not you visit https://safe-eddprocess3527.duckdns.org/ to cancel and block this attempt",,,,,
741,https://chat.whatsapp.com/HGEBAfdiEjk6U06prxlKsg,,,,,
419,"NETFIX_ID.073455 YOUR SUBSCRIPTION IS ON ""HOID"", Renewal-your-bill-now: // @@,supr.link/hrXyP",,,,,
SOURCE-charity-05,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-18,,,,,NEEDS_SOURCING,
376,"Greetings to Amazon Customer, As a new amazon regulation, we need to ask our customers to update their account information in order to continue using amazon shopping. Update Here: eb4.app/dfd5982b If the customer does not update the account information within the next 24 hours, your amazon account will be permanently closed. Amazon ID: 501868",,,,,
58,"Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California.",,,,,
772,"EDD!!! Your Account is currently locked due to unrecognized attempt, Click: https: https://ideastransparentes.com.ar/cabz/verifyedd to restore access to your account. Jul 5, 5:44PM Send message",,,,,
SOURCE-charity-04,,,,,NEEDS_SOURCING,
619,"Did you purchase 1 gift card(s) from Steam Card Delivery? Reply YES or NO, if YES continue with order. If NO, reject the order.",,,,,
505,"NTLFIX.ID# 679219 Your SUBSCRIPTION-IS-ON ""HOID"",Renewal-your-bill-now:// @@,unusa.id/2u3l",,,,,
983,SYSTEM FAILURE: (3) Extremely malicious files have accessed your data. Delete files NOW to keep your data hlkdved.com/JZeAgzn5,,,,,
321,"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account : http://s955064170.onlinehome.us/itsy?_glbsas Regards, Netflix Pte. Ltd.",,,,,
571,Geico: Account may compromised. Please review here http://pmbox.online/4UWqiD288PcPb7meokxwnhfo1YYRFWVNSQEUQXDH101630/79654a11,,,,,
761,"Michael, how is it hanging? Check out this unbelievable video t.co/bV21xitX5t before it got taken down by authorities. You probably can guess now who",,,,,
1000,"#NavyFed: $870 withdrawn at ATMSW-2. To dispute, go to bit.ly/navyauth",,,,,
SOURCE-family-emergency-06,,,,,NEEDS_SOURCING,
SOURCE-charity-09,,,,,NEEDS_SOURCING,
241,"Application from: KJN468 - Status: Completed, check results: veilknitting.com/y8mXEyk",,,,,
936,PHONE COMPROMISED: Your device scan revealed (3) extremely malicious files. Delete them IMMEDIATELY to secure your data hwqpzhm.com/QVdV9ppD,,,,,
971,(213) 671-8751 Here is an opportunity for you to benefit from extra unemployment insurance funds relief bonus set up by federal Government with a sum of $2400 every week as Taxes Refund Benefit Programe for every citizen Act Plan. Apply here: (https://forms.office.com/r/Oc71GAVPIJ) 10:26 PM,,,,,
557,"Your overdue final toll invoice has been put on hold, please deal with it promptly, details:tinyurl.com/Rauchk",,,,,
963,Your Phone has been comprimised! CLICK LINK BELOW TO REMOVE ? pbizzz.com/J44rCi,,,,,
133,Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: du9k3.com/rvirONcqBD,,,,,
1039,YOU turned Auto-Scan OFF on your device! 3 Malicious files have been found! Enable Auto-Scan now xsschju.com/W70A9956,,,,,
SOURCE-medicare-and-health-10,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-03,,,,,NEEDS_SOURCING,
SOURCE-charity-08,,,,,NEEDS_SOURCING,
694,"RPC - If you ever drank the water, with-in 500 miles of CampLejune, NC, You're recieving 85,405k - Call +15102161022 today. STOP to end",,,,,
SOURCE-medicare-and-health-09,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-09,,,,,NEEDS_SOURCING,
749,Your Car History has a new entry: https://t.co/o5v07fefr1?fmuxtuprck yocmlxf,,,,,
964,"A deduction of $714.02 was made from your account? Not you, click cesbc.us/ to cancel.",,,,,
SOURCE-charity-01,,,,,NEEDS_SOURCING,
480,Dear valued Netflix user. The monthly automatic payment failed. To avoid services suspension and restore acces join us at: netflixhelpsupport.lpages.co/support 6:25 AM,,,,,
SOURCE-family-emergency-10,,,,,NEEDS_SOURCING,
545,"Hi, sorry I was in Australia and I'm back. I owe $500 on the phone to pay off. I'll give it to you for $330 if you want. I'm off work at 7pm in Encinitas A couple people are interested so just keep me posted if you didn't get one already O'",,,,,
687,This is a Flex Alert! The power is ours to help stop an outage now. Conserve energy by delaying laundry until the morning. Learn more at https://flexalert.link/fourtonine?id=66ZA - stop2end,,,,,
96,"Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: W3NGZ.COM/6blDog8jzc",,,,,
SOURCE-family-emergency-19,,,,,NEEDS_SOURCING,
SOURCE-medicare-and-health-19,,,,,NEEDS_SOURCING,
404,Hey Dwayne this is Sarah. Would you entertain a fair proposal for 1149 Harwich Dr? I want to buy a place in the area.,,,,,
SOURCE-medicare-and-health-14,,,,,NEEDS_SOURCING,
